Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,3,A2C,None,0.1,0.99,A2C_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_03,N,46.73836867,901,37,864,,0.238955001
1,1,A2C,None,0.1,0.99,A2C_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886,0.83620687
1,1,A2C,None,0.1,0.99,A2C_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_06,N,95.329766,-39,0,845,807,0.835596198
1,3,A2C,None,0.1,0.99,A2C_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_08,N,46.73836867,1008,158,850,,0.234949705
1,3,DQN,None,0.1,0.99,DQN_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_03,N,46.73836867,901,37,864,,0.238955001
1,3,DQN,None,0.1,0.99,DQN_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_04,N,46.73836867,1008,86,922,,0.235990694
1,3,DQN,None,0.1,0.99,DQN_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_06,N,46.73836867,1020,175,845,,0.234828207
1,3,DQN,None,0.1,0.99,DQN_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_08,N,46.73836867,1008,158,850,,0.234949705
1,1,PPO,None,0.1,0.99,PPO_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_03,N,51.23620357,901,37,864,,0.261444176
1,1,PPO,None,0.1,0.99,PPO_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886,0.83620687
1,1,PPO,None,0.1,0.99,PPO_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_06,N,95.329766,-39,0,845,807,0.835596198
1,1,PPO,None,0.1,0.99,PPO_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_08,N,95.94679749,-302,0,850,716,0.579733987
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_03,N,51.23620357,901,37,864,,0.261444176
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_04,N,95.241374,-39,0,922,887,0.835154238
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_06,N,95.329766,-41,0,845,809,0.833490935
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_01_1000_1e-01_99_17-07-21-21,IEEE_01,IEEE_08,N,51.23620357,1008,158,850,,0.257438879
1,1,A2C,None,0.1,0.99,A2C_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_01,N,95.0067,-178,0,874,792,0.687665079
1,1,A2C,None,0.1,0.99,A2C_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_04,N,95.68023733,-44,0,922,892,0.832085397
1,1,A2C,None,0.1,0.99,A2C_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_06,N,95.329766,-41,0,845,809,0.833490935
1,1,A2C,None,0.1,0.99,A2C_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_08,N,95.05450863,-150,0,850,564,0.717377806
1,1,DQN,None,0.1,0.99,DQN_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_01,N,95.0067,-180,0,874,794,0.685559816
1,1,DQN,None,0.1,0.99,DQN_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_04,N,95.241374,-39,0,922,887,0.835154238
1,1,DQN,None,0.1,0.99,DQN_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_06,N,95.329766,-40,0,845,808,0.834543567
1,1,DQN,None,0.1,0.99,DQN_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_08,N,95.05450863,-150,0,850,564,0.717377806
1,1,PPO,None,0.1,0.99,PPO_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_01,N,95.209728,-185,0,874,799,0.681311798
1,1,PPO,None,0.1,0.99,PPO_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_04,N,95.68023733,-44,0,922,892,0.832085397
1,1,PPO,None,0.1,0.99,PPO_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_06,N,95.329766,-41,0,845,809,0.833490935
1,1,PPO,None,0.1,0.99,PPO_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_08,N,95.05450863,-150,0,850,564,0.717377806
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_01,N,95.0067,-178,0,874,792,0.687665079
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_04,N,95.241374,-39,0,922,887,0.835154238
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_03_1000_1e-01_99_17-07-21-21,IEEE_03,IEEE_06,N,95.329766,-41,0,845,809,0.833490935
