Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,1,A2C,Nadaraya-Watson,0.001,0.99,A2C_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,99.84892033333334,-259,0,874,873.0,0.7266130227192982
1,3,A2C,Nadaraya-Watson,0.001,0.99,A2C_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,46.73836866760763,901,37,864,,0.238955001232775
1,3,A2C,Nadaraya-Watson,0.001,0.99,A2C_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,46.73836866760763,1008,86,922,,0.2359906939127508
1,3,A2C,Nadaraya-Watson,0.001,0.99,A2C_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,46.73836866760763,1020,175,845,,0.2348282069744018
1,1,A2C,Nadaraya-Watson,0.001,0.99,A2C_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,95.946797488104,-293,0,850,707.0,0.6797339874405199
1,1,A2C,Temporal,0.001,0.99,A2C_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,97.33803066666667,-217,0,874,831.0,0.7582691007017544
1,1,A2C,Temporal,0.001,0.99,A2C_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,99.45995610619465,-31,0,864,862.0,0.9646682015836048
1,1,A2C,Temporal,0.001,0.99,A2C_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,101.31516933333333,-84,10,922,932.0,0.7297607655502393
1,1,A2C,Temporal,0.001,0.99,A2C_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,98.69061900000001,-67,0,845,835.0,0.9229267792105262
1,1,A2C,Temporal,0.001,0.99,A2C_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,95.00985632538067,-149,0,850,563.0,0.8182071763637455
1,1,A2C,Self-Attention,0.001,0.99,A2C_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,99.84892033333334,-259,0,874,873.0,0.7266130227192982
1,3,A2C,Self-Attention,0.001,0.99,A2C_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,46.73836866760763,901,37,864,,0.238955001232775
1,3,A2C,Self-Attention,0.001,0.99,A2C_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,46.73836866760763,1008,86,922,,0.2359906939127508
1,3,A2C,Self-Attention,0.001,0.99,A2C_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,46.73836866760763,1020,175,845,,0.2348282069744018
1,3,A2C,Self-Attention,0.001,0.99,A2C_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,46.73836866760763,1008,158,850,,0.2349497049732583
1,1,A2C,Multi-Head,0.001,0.99,A2C_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,100.05264433333332,-260,0,874,874.0,0.7263157894736842
1,1,A2C,Multi-Head,0.001,0.99,A2C_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,98.47554643067834,-29,0,864,860.0,0.961851416363918
