Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_12,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_14,N,46.73836866760763,400,19,381,,0.24369184333803817
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,A2C,None,0.001,0.99,A2C_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_12,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_14,N,46.73836866760763,400,19,381,,0.24369184333803817
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,DQN,None,0.001,0.99,DQN_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,1,PPO,None,0.001,0.99,PPO_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_8,N,103.16333333333334,-44,0,388,388.0,0.9536842105263157
1,1,PPO,None,0.001,0.99,PPO_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_10,N,97.32333333333334,-37,0,387,362.0,0.9476692982456141
1,1,PPO,None,0.001,0.99,PPO_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_11,N,95.86333333333332,-34,0,388,365.0,0.943527192982456
1,1,PPO,None,0.001,0.99,PPO_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_12,N,95.86333333333332,-35,0,388,364.0,0.9424745614035086
1,1,PPO,None,0.001,0.99,PPO_SIT_7_1000_1e-03_99_12-07-13-04,SIT_7,SIT_13,N,95.37666666666667,-46,0,365,343.0,0.9284622807017544
